return_id,order_id,order_item_id,asin,sku,product_title,return_request_date,return_reason,return_status,refund_amount,currency
RET-000157,114-1667618-2160739,3,B0GJL7P973,SKU-0045,PureGlo Hair Straightener — Cruelty-Free & Ionic Technology,2025-10-06,Defective,Refunded,39.53,USD
RET-000158,114-9086174-1320427,2,B0ZWX7WPK9,SKU-0114,DriveGuard Seat Covers — Universal Fit & Heavy Duty,2026-02-03,Better price available,Refunded,11.52,USD
RET-000159,114-4731908-7877393,4,B0A8X9FRKN,SKU-0031,Nordic Home Coffee Grinder — BPA-Free & Premium Finish,2025-09-10,Not as described,Processing,38.11,USD
RET-000160,114-9501949-5857499,2,B03QFWA54M,SKU-0056,EverPeak Running Belt — Anti-Slip & Waterproof,2025-01-29,Inaccurate website description,Closed,0.0,USD
RET-000161,114-7876130-8135215,1,B0HE56LV1G,SKU-0071,KiddoCraft Play Kitchen Set — Interactive & Ages 3+,2026-01-12,Defective,Refunded,22.81,USD
RET-000162,114-7509604-6617119,2,B05P1Y30A5,SKU-0091,PawPals Slow Feeder Bowl — Easy to Clean & Non-Toxic,2026-03-08,Defective,Refunded,11.7,USD
RET-000163,114-5604580-2866156,3,B0NL5Q5CZM,SKU-0003,EverPeak USB-C Hub — Water Resistant & HD 1080p,2025-08-02,Arrived too late,Processing,81.42,USD
RET-000164,114-7266653-1930815,1,B01CQYLRS7,SKU-0070,CloudNest Art Supplies Kit — STEM Learning & Interactive,2026-04-14,Wrong item sent,Refunded,25.06,USD
RET-000165,114-6210505-9660904,1,B0CWALEK2Y,SKU-0036,ZenLife Air Fryer — Dishwasher Safe & Non-Stick Coating,2025-05-02,Better price available,Closed,0.0,USD
RET-000166,114-5505739-9378197,3,B0F635F86R,SKU-0097,PawPals Dog Chew Toys — Durable & Easy to Clean,2025-10-01,Defective,Processing,21.36,USD
RET-000167,114-7195501-1552596,3,B09V1N9TED,SKU-0077,KiddoCraft Puzzle Set — Non-Toxic & STEM Learning,2025-05-10,Defective,Refunded,26.1,USD
RET-000168,114-6774032-1053482,1,B0NL5Q5CZM,SKU-0003,EverPeak USB-C Hub — Water Resistant & HD 1080p,2025-08-05,No longer needed,Processing,212.77,USD
RET-000169,114-5764423-9382060,1,B0SFWKQDD5,SKU-0022,Nordic Home Plant Pots — Non-Stick Coating & BPA-Free,2025-10-28,Not as described,Refunded,54.54,USD
RET-000170,114-5336203-1232800,1,B0A30AC946,SKU-0117,ProGrip Stud Finder — Ergonomic Grip & Rust Resistant,2026-03-02,No longer needed,Refunded,15.83,USD
RET-000171,114-7940178-2405817,1,B00JXDXVG6,SKU-0095,PawPals Dog Treat Pouch — Easy to Clean & Non-Toxic,2026-07-04,Not as described,Refunded,33.95,USD
RET-000172,114-4821230-6888868,1,B0HE56LV1G,SKU-0071,KiddoCraft Play Kitchen Set — Interactive & Ages 3+,2026-04-18,No longer needed,Refunded,14.14,USD
RET-000173,114-7219910-4368734,2,B0J9HPEX6X,SKU-0112,DriveGuard Tire Pressure Gauge — Long Cord & Heavy Duty,2025-12-07,Better price available,Refunded,16.76,USD
RET-000174,114-9991823-3666514,5,B02T104M25,SKU-0111,DriveGuard Jump Starter — Long Cord & Universal Fit,2025-11-05,Wrong item sent,Refunded,55.67,USD
RET-000175,114-1965307-1777145,1,B0A8X9FRKN,SKU-0031,Nordic Home Coffee Grinder — BPA-Free & Premium Finish,2026-03-18,No longer needed,Refunded,138.54,USD
RET-000176,114-3422865-4628876,1,B08H6XVAML,SKU-0006,EverPeak Gaming Mouse — RGB Backlit & Compact Design,2025-04-07,Defective,Refunded,88.7,USD
RET-000177,114-2557710-1974641,2,B04ZD4ZURZ,SKU-0103,LittleNest Baby Monitor — Safety Certified & Hypoallergenic,2026-03-15,Defective,Refunded,31.9,USD
RET-000178,114-3179290-5530167,1,B0EGZYNSAE,SKU-0106,LittleNest Baby Bath Tub — Hypoallergenic & Safety Certified,2026-03-16,Defective,Processing,50.86,USD
RET-000179,114-2387142-7207788,2,B0279XVVC5,SKU-0014,BrightBeam Desk Lamp — RGB Backlit & Noise Cancelling,2025-09-23,No longer needed,Closed,0.0,USD
RET-000180,114-4018266-9516874,1,B03WTWXEDC,SKU-0072,CloudNest Magnetic Tiles — STEM Learning & Educational,2025-02-25,Defective,Processing,38.5,USD
RET-000181,114-4584557-2065817,2,B0NKTX370W,SKU-0051,PureGlo Shampoo & Conditioner — Gentle Formula & Ionic Technology,2025-11-13,Damaged during shipping,Processing,10.97,USD
RET-000182,114-1207531-3103598,1,B0YXU5G7D1,SKU-0011,BrightBeam Bluetooth Speaker — Fast Charging & Noise Cancelling,2025-05-30,Defective,Refunded,107.91,USD
RET-000183,114-6481567-5951639,1,B0HE56LV1G,SKU-0071,KiddoCraft Play Kitchen Set — Interactive & Ages 3+,2025-03-15,Defective,Refunded,45.62,USD
RET-000184,114-5783664-8824531,1,B00EGECWF5,SKU-0030,ZenLife Laundry Hamper — Dishwasher Safe & Premium Finish,2025-09-22,Wrong item sent,Refunded,68.26,USD
RET-000185,114-2554833-4412989,3,B0N90348CD,SKU-0088,ProGrip Desk Chair Cushion — Multipurpose & Ergonomic,2025-10-11,No longer needed,Refunded,19.45,USD
RET-000186,114-3651430-1948263,1,B0WCY6LU8P,SKU-0029,UrbanKitchen Wall Clock — Easy Clean & Dishwasher Safe,2026-06-18,Arrived too late,Processing,84.91,USD
RET-000187,114-9736811-2480839,1,B0J4AJH5Y5,SKU-0084,ProGrip Monitor Stand — Space Saving & Multipurpose,2025-02-05,No longer needed,Refunded,33.47,USD
RET-000188,114-8733733-5927218,2,B00EGECWF5,SKU-0030,ZenLife Laundry Hamper — Dishwasher Safe & Premium Finish,2025-02-10,Defective,Refunded,145.2,USD
RET-000189,114-5254385-9053977,1,B01NLXW82L,SKU-0104,LittleNest Bassinet — Safety Certified & BPA-Free,2025-12-07,Arrived too late,Refunded,16.98,USD
RET-000190,114-2475212-5442304,1,B03QFWA54M,SKU-0056,EverPeak Running Belt — Anti-Slip & Waterproof,2026-06-24,Not as described,Refunded,77.09,USD
RET-000191,114-5952250-7067055,1,B06AZNEH47,SKU-0008,BrightBeam Mechanical Keyboard — 30H Battery Life & Water Resistant,2025-12-19,Damaged during shipping,Refunded,75.67,USD
RET-000192,114-5377586-3019769,1,B0DLXACSTN,SKU-0068,CloudNest Plush Toy — Non-Toxic & Ages 3+,2025-03-10,Inaccurate website description,Refunded,13.26,USD
RET-000193,114-3474218-9012950,1,B0MVKP1792,SKU-0002,BrightBeam HDMI Cable — Bluetooth 5.3 & HD 1080p,2025-12-22,Better price available,Refunded,46.7,USD
RET-000194,114-6660363-6277201,2,B0NL5Q5CZM,SKU-0003,EverPeak USB-C Hub — Water Resistant & HD 1080p,2025-10-02,No longer needed,Processing,131.88,USD
RET-000195,114-3862345-8418392,1,B0NQJ9A5QP,SKU-0081,WriteWell Paper Shredder — Ergonomic & Space Saving,2025-07-10,Defective,Closed,15.31,USD
RET-000196,114-3801766-6814121,2,B0AZBDRH38,SKU-0086,ProGrip Sticky Notes Pack — Ergonomic & Multipurpose,2025-05-26,Not as described,Refunded,16.21,USD
RET-000197,114-8063855-6468515,4,B0FPMT2SF9,SKU-0076,CloudNest Science Kit — Educational & Non-Toxic,2025-08-29,No longer needed,Refunded,11.04,USD
RET-000198,114-6320116-5892932,3,B0PAU2ZN1D,SKU-0113,DriveGuard Car Organizer — Heavy Duty & Easy Install,2025-06-29,Defective,Refunded,24.69,USD
RET-000199,114-1909160-8752101,1,B0CWALEK2Y,SKU-0036,ZenLife Air Fryer — Dishwasher Safe & Non-Stick Coating,2026-07-07,Missing parts or accessories,Processing,19.47,USD
RET-000200,114-3666472-7988135,1,B0A8X9FRKN,SKU-0031,Nordic Home Coffee Grinder — BPA-Free & Premium Finish,2025-03-17,Better price available,Processing,58.18,USD
RET-000201,114-8198110-5519410,1,B0P5FBKME8,SKU-0047,PureGlo Bath Bomb Set — Dermatologist Tested & Gentle Formula,2025-05-17,Wrong item sent,Refunded,31.59,USD
RET-000202,114-3123388-3855738,2,B05P1Y30A5,SKU-0091,PawPals Slow Feeder Bowl — Easy to Clean & Non-Toxic,2025-06-22,Damaged during shipping,Processing,10.4,USD
RET-000203,114-2583632-7791789,1,B0ANDXF98K,SKU-0004,AuroraTech WiFi Range Extender — Bluetooth 5.3 & Fast Charging,2026-06-23,Defective,Refunded,109.5,USD
RET-000204,114-9295063-9257653,4,B0DLXACSTN,SKU-0068,CloudNest Plush Toy — Non-Toxic & Ages 3+,2026-03-24,Missing parts or accessories,Refunded,21.32,USD
RET-000205,114-7433863-2219835,2,B0U0VF1HMG,SKU-0040,ZenLife Nail Clipper Set — Gentle Formula & Cruelty-Free,2025-09-30,Not as described,Processing,27.29,USD
RET-000206,114-3133694-5334105,1,B0YXU5G7D1,SKU-0011,BrightBeam Bluetooth Speaker — Fast Charging & Noise Cancelling,2025-09-01,Not as described,Refunded,82.01,USD
RET-000207,114-5742703-2057860,2,B0TXQ65ZFV,SKU-0087,WriteWell Desk Organizer — Ergonomic & Multipurpose,2025-06-28,Not as described,Refunded,20.51,USD
RET-000208,114-1905377-7459138,1,B02T104M25,SKU-0111,DriveGuard Jump Starter — Long Cord & Universal Fit,2025-09-09,No longer needed,Refunded,44.93,USD
RET-000209,114-8010183-6241542,1,B088K2QTZJ,SKU-0007,AuroraTech Car Mount — Bluetooth 5.3 & RGB Backlit,2026-06-10,No longer needed,Processing,34.95,USD
RET-000210,114-2093600-2773585,2,B0R7U9K93R,SKU-0094,PawPals Pet Carrier — Non-Toxic & Durable,2025-05-01,Defective,Refunded,56.62,USD
RET-000211,114-5147923-3712287,2,B0H9GJQWK8,SKU-0009,EverPeak Phone Case — Noise Cancelling & Bluetooth 5.3,2026-02-23,Defective,Refunded,23.15,USD
RET-000212,114-4319766-5280659,1,B0NQJ9A5QP,SKU-0081,WriteWell Paper Shredder — Ergonomic & Space Saving,2026-04-22,Wrong item sent,Refunded,40.86,USD
RET-000213,114-9991823-3666514,3,B06AZNEH47,SKU-0008,BrightBeam Mechanical Keyboard — 30H Battery Life & Water Resistant,2025-11-21,No longer needed,Processing,59.06,USD
RET-000214,114-8199730-8026853,2,B0279XVVC5,SKU-0014,BrightBeam Desk Lamp — RGB Backlit & Noise Cancelling,2025-02-20,Defective,Refunded,51.35,USD
RET-000215,114-4042513-3113236,3,B0N90348CD,SKU-0088,ProGrip Desk Chair Cushion — Multipurpose & Ergonomic,2025-05-12,Not as described,Refunded,12.37,USD
RET-000216,114-4678992-4496745,6,B00EGECWF5,SKU-0030,ZenLife Laundry Hamper — Dishwasher Safe & Premium Finish,2026-06-18,No longer needed,Refunded,47.03,USD
RET-000217,114-3471987-4780379,1,B0ZWX7WPK9,SKU-0114,DriveGuard Seat Covers — Universal Fit & Heavy Duty,2025-02-09,No longer needed,Refunded,37.44,USD
RET-000218,114-6087212-1558164,1,B0R5E97R3C,SKU-0001,AuroraTech Smart Plug — Noise Cancelling & HD 1080p,2026-05-04,Defective,Refunded,89.73,USD
RET-000219,114-8054145-9295417,2,B0R5E97R3C,SKU-0001,AuroraTech Smart Plug — Noise Cancelling & HD 1080p,2025-09-26,Defective,Refunded,358.92,USD
RET-000220,114-4446435-4943305,1,B0279XVVC5,SKU-0014,BrightBeam Desk Lamp — RGB Backlit & Noise Cancelling,2025-11-27,Defective,Refunded,51.35,USD
RET-000221,114-3383215-5185490,2,B0M6YEW145,SKU-0083,WriteWell Standing Desk Converter — Durable & Multipurpose,2025-08-08,Arrived too late,Refunded,8.52,USD
RET-000222,114-8633504-2955624,2,B0Q85PD1G6,SKU-0018,EverPeak Power Bank — 30H Battery Life & Noise Cancelling,2025-08-22,No longer needed,Closed,0.0,USD
RET-000223,114-1985840-2339450,3,B0EGZYNSAE,SKU-0106,LittleNest Baby Bath Tub — Hypoallergenic & Safety Certified,2026-05-24,Not as described,Refunded,16.01,USD
RET-000224,114-6690813-9474196,2,B0N90348CD,SKU-0088,ProGrip Desk Chair Cushion — Multipurpose & Ergonomic,2026-01-21,Damaged during shipping,Closed,19.37,USD
RET-000225,114-7596826-4153748,1,B0NQJ9A5QP,SKU-0081,WriteWell Paper Shredder — Ergonomic & Space Saving,2025-03-26,Not as described,Refunded,10.61,USD
RET-000226,114-1775541-5069646,1,B0QKGVBY0X,SKU-0108,LittleNest Baby Bottle Set — BPA-Free & Hypoallergenic,2025-09-09,Defective,Processing,32.0,USD
RET-000227,114-3921178-2715740,2,B0PGGKXQ9K,SKU-0093,PawPals Pet Water Fountain — Easy to Clean & Vet Recommended,2025-03-27,Defective,Refunded,31.65,USD
RET-000228,114-6925744-8784315,1,B0ANDXF98K,SKU-0004,AuroraTech WiFi Range Extender — Bluetooth 5.3 & Fast Charging,2025-10-15,No longer needed,Refunded,63.76,USD
RET-000229,114-1824058-9056135,4,B08H6XVAML,SKU-0006,EverPeak Gaming Mouse — RGB Backlit & Compact Design,2025-02-05,No longer needed,Processing,163.17,USD
RET-000230,114-6583198-1813885,2,B0A8X9FRKN,SKU-0031,Nordic Home Coffee Grinder — BPA-Free & Premium Finish,2025-02-03,Missing parts or accessories,Processing,74.65,USD
RET-000231,114-4024776-5176643,1,B055PLDLF8,SKU-0005,BrightBeam Webcam — Compact Design & 30H Battery Life,2025-05-06,Damaged during shipping,Processing,80.42,USD
RET-000232,114-5497124-5808585,1,B0NQJ9A5QP,SKU-0081,WriteWell Paper Shredder — Ergonomic & Space Saving,2025-04-06,Defective,Refunded,15.31,USD
RET-000233,114-8900187-2975230,1,B0FTQRA6A1,SKU-0109,DriveGuard Dash Cam — Heavy Duty & Easy Install,2025-12-07,Defective,Refunded,30.93,USD
RET-000234,114-8993284-9557662,1,B0ANDXF98K,SKU-0004,AuroraTech WiFi Range Extender — Bluetooth 5.3 & Fast Charging,2025-12-22,Defective,Processing,109.5,USD
RET-000235,114-6129446-6611691,1,B0QKGVBY0X,SKU-0108,LittleNest Baby Bottle Set — BPA-Free & Hypoallergenic,2026-03-25,No longer needed,Refunded,14.44,USD
RET-000236,114-8953202-2488175,1,B02LTJA2NA,SKU-0078,CloudNest Dollhouse — Ages 3+ & Interactive,2026-02-25,No longer needed,Processing,39.92,USD
RET-000237,114-8634919-7772365,3,B0N90348CD,SKU-0088,ProGrip Desk Chair Cushion — Multipurpose & Ergonomic,2025-10-01,Better price available,Refunded,11.03,USD
RET-000238,114-2632871-9803553,1,B03WTWXEDC,SKU-0072,CloudNest Magnetic Tiles — STEM Learning & Educational,2025-08-18,Not as described,Processing,29.1,USD
RET-000239,114-6959962-7029324,1,B0WCY6LU8P,SKU-0029,UrbanKitchen Wall Clock — Easy Clean & Dishwasher Safe,2025-08-31,Better price available,Refunded,83.64,USD
RET-000240,114-1222628-9167792,1,B0AZBDRH38,SKU-0086,ProGrip Sticky Notes Pack — Ergonomic & Multipurpose,2025-07-24,Damaged during shipping,Refunded,27.71,USD
RET-000241,114-1453303-3307012,2,B0279XVVC5,SKU-0014,BrightBeam Desk Lamp — RGB Backlit & Noise Cancelling,2025-02-21,Damaged during shipping,Refunded,45.32,USD
RET-000242,114-8575349-1903147,1,B0HE56LV1G,SKU-0071,KiddoCraft Play Kitchen Set — Interactive & Ages 3+,2026-07-15,Defective,Refunded,22.81,USD
RET-000243,114-1462791-9944486,1,B0ANDXF98K,SKU-0004,AuroraTech WiFi Range Extender — Bluetooth 5.3 & Fast Charging,2025-07-05,Damaged during shipping,Refunded,109.5,USD
RET-000244,114-2442367-7339320,2,B0U0VF1HMG,SKU-0040,ZenLife Nail Clipper Set — Gentle Formula & Cruelty-Free,2025-11-01,Not as described,Processing,19.7,USD
RET-000245,114-5880139-7039002,2,B0FA6PK7S1,SKU-0043,PureGlo Body Scrub — Ionic Technology & Gentle Formula,2026-03-18,Inaccurate website description,Refunded,37.76,USD
RET-000246,114-6157968-7753014,1,B05P1Y30A5,SKU-0091,PawPals Slow Feeder Bowl — Easy to Clean & Non-Toxic,2025-10-06,Missing parts or accessories,Refunded,20.8,USD
RET-000247,114-1685796-3669613,1,B0MVKP1792,SKU-0002,BrightBeam HDMI Cable — Bluetooth 5.3 & HD 1080p,2025-09-14,No longer needed,Refunded,54.57,USD
RET-000248,114-7052813-7251399,3,B02LTJA2NA,SKU-0078,CloudNest Dollhouse — Ages 3+ & Interactive,2026-04-19,Better price available,Refunded,27.17,USD
RET-000249,114-8211972-7788118,3,B0TURPLSHH,SKU-0100,PawPals Automatic Pet Feeder — Easy to Clean & Vet Recommended,2026-04-15,Defective,Refunded,40.93,USD
RET-000250,114-5829884-8013146,2,B0YJ486MXU,SKU-0107,LittleNest Baby Safety Gate — Safety Certified & BPA-Free,2026-01-08,Damaged during shipping,Refunded,182.4,USD
RET-000251,114-8347263-4923595,3,B03WTWXEDC,SKU-0072,CloudNest Magnetic Tiles — STEM Learning & Educational,2026-03-24,Damaged during shipping,Closed,19.25,USD
RET-000252,114-3845107-4833000,2,B05P1Y30A5,SKU-0091,PawPals Slow Feeder Bowl — Easy to Clean & Non-Toxic,2025-07-19,No longer needed,Refunded,6.54,USD
RET-000253,114-5885714-2537230,2,B0FTQRA6A1,SKU-0109,DriveGuard Dash Cam — Heavy Duty & Easy Install,2026-04-09,Arrived too late,Refunded,30.43,USD
RET-000254,114-3461675-1923821,6,B0R5E97R3C,SKU-0001,AuroraTech Smart Plug — Noise Cancelling & HD 1080p,2025-07-19,Inaccurate website description,Processing,56.26,USD
RET-000255,114-9295063-9257653,2,B04ZD4ZURZ,SKU-0103,LittleNest Baby Monitor — Safety Certified & Hypoallergenic,2026-03-04,Not as described,Refunded,20.61,USD
RET-000256,114-6354606-6694220,1,B0SQ7F7BFE,SKU-0057,TrailBlaze Dumbbell Set — Waterproof & Portable,2025-05-09,Defective,Refunded,46.37,USD
RET-000257,114-2807429-7227310,1,B06AZNEH47,SKU-0008,BrightBeam Mechanical Keyboard — 30H Battery Life & Water Resistant,2025-04-22,No longer needed,Refunded,40.93,USD
RET-000258,114-4987452-4879075,2,B0YBRGQRFQ,SKU-0110,DriveGuard Car Vacuum — Long Cord & Easy Install,2025-12-19,No longer needed,Refunded,12.53,USD
RET-000259,114-2895920-9221915,2,B0NQJ9A5QP,SKU-0081,WriteWell Paper Shredder — Ergonomic & Space Saving,2025-03-27,Arrived too late,Refunded,14.93,USD
RET-000260,114-5143130-6014853,1,B05P1Y30A5,SKU-0091,PawPals Slow Feeder Bowl — Easy to Clean & Non-Toxic,2026-06-03,Missing parts or accessories,Refunded,11.7,USD
RET-000261,114-1910845-4161506,2,B02T104M25,SKU-0111,DriveGuard Jump Starter — Long Cord & Universal Fit,2025-09-08,No longer needed,Refunded,43.14,USD
RET-000262,114-3920867-1436887,3,B0SQ7F7BFE,SKU-0057,TrailBlaze Dumbbell Set — Waterproof & Portable,2025-03-01,Better price available,Closed,0.0,USD
RET-000263,114-5059623-3890762,1,B0YJ486MXU,SKU-0107,LittleNest Baby Safety Gate — Safety Certified & BPA-Free,2026-02-21,No longer needed,Processing,55.15,USD
RET-000264,114-4092823-4058136,4,B0YJ486MXU,SKU-0107,LittleNest Baby Safety Gate — Safety Certified & BPA-Free,2025-03-27,No longer needed,Refunded,52.55,USD
RET-000265,114-6026046-9445312,1,B0P5FBKME8,SKU-0047,PureGlo Bath Bomb Set — Dermatologist Tested & Gentle Formula,2026-07-15,Inaccurate website description,Processing,64.0,USD
RET-000266,114-9828041-8224494,2,B0AZBDRH38,SKU-0086,ProGrip Sticky Notes Pack — Ergonomic & Multipurpose,2025-08-17,Defective,Refunded,27.71,USD
RET-000267,114-8784269-9228269,2,B0NL5Q5CZM,SKU-0003,EverPeak USB-C Hub — Water Resistant & HD 1080p,2026-07-15,Defective,Refunded,103.75,USD
RET-000268,114-7662761-1700728,1,B02X1DSSZM,SKU-0102,LittleNest Diaper Bag — Hypoallergenic & Easy to Clean,2025-08-26,Damaged during shipping,Refunded,26.88,USD
RET-000269,114-4252186-5848213,2,B0P5FBKME8,SKU-0047,PureGlo Bath Bomb Set — Dermatologist Tested & Gentle Formula,2026-05-08,Wrong item sent,Refunded,27.8,USD
RET-000270,114-3402037-9881980,3,B02X1DSSZM,SKU-0102,LittleNest Diaper Bag — Hypoallergenic & Easy to Clean,2026-07-15,No longer needed,Refunded,10.67,USD
RET-000271,114-8405483-2346854,1,B0NL5Q5CZM,SKU-0003,EverPeak USB-C Hub — Water Resistant & HD 1080p,2025-03-29,No longer needed,Refunded,75.49,USD
RET-000272,114-5770818-9720948,6,B0SQ7F7BFE,SKU-0057,TrailBlaze Dumbbell Set — Waterproof & Portable,2025-04-02,No longer needed,Processing,27.05,USD
RET-000273,114-7579359-5250843,2,B07GWT52HM,SKU-0021,ZenLife Cutting Board Set — BPA-Free & Easy Clean,2025-08-15,Not as described,Refunded,17.74,USD
RET-000274,114-4169589-3224150,1,B043M1S1C4,SKU-0049,PureGlo Sunscreen Lotion — Ionic Technology & Dermatologist Tested,2025-10-27,Arrived too late,Refunded,15.91,USD
RET-000275,114-6753744-3116351,2,B0U0VF1HMG,SKU-0040,ZenLife Nail Clipper Set — Gentle Formula & Cruelty-Free,2025-04-23,No longer needed,Refunded,16.34,USD
RET-000276,114-7374992-4732932,3,B08UGTRB3Y,SKU-0050,ZenLife Vitamin C Serum — Dermatologist Tested & Long Lasting,2026-07-11,Not as described,Refunded,29.42,USD
RET-000277,114-5271754-1939699,2,B0ANDXF98K,SKU-0004,AuroraTech WiFi Range Extender — Bluetooth 5.3 & Fast Charging,2026-06-30,Missing parts or accessories,Refunded,109.5,USD
RET-000278,114-7547783-1567849,1,B0CWALEK2Y,SKU-0036,ZenLife Air Fryer — Dishwasher Safe & Non-Stick Coating,2025-08-14,Wrong item sent,Refunded,19.47,USD
RET-000279,114-6249530-1044315,1,B0TXQ65ZFV,SKU-0087,WriteWell Desk Organizer — Ergonomic & Multipurpose,2025-01-28,No longer needed,Refunded,16.64,USD
RET-000280,114-7183138-3335391,1,B08H6XVAML,SKU-0006,EverPeak Gaming Mouse — RGB Backlit & Compact Design,2026-06-07,No longer needed,Refunded,74.39,USD
RET-000281,114-1846631-1599611,4,B00EGECWF5,SKU-0030,ZenLife Laundry Hamper — Dishwasher Safe & Premium Finish,2025-02-28,Wrong item sent,Closed,72.6,USD
RET-000282,114-2972032-1682701,1,B0ZWX7WPK9,SKU-0114,DriveGuard Seat Covers — Universal Fit & Heavy Duty,2025-01-28,No longer needed,Processing,31.27,USD
RET-000283,114-5588065-9678193,1,B0Q85PD1G6,SKU-0018,EverPeak Power Bank — 30H Battery Life & Noise Cancelling,2025-08-04,No longer needed,Refunded,14.08,USD
RET-000284,114-3969484-8341566,3,B0WCY6LU8P,SKU-0029,UrbanKitchen Wall Clock — Easy Clean & Dishwasher Safe,2025-06-09,No longer needed,Refunded,38.65,USD
RET-000285,114-5728628-6079237,3,B0SH0V1DCR,SKU-0075,KiddoCraft Nerf-Style Blaster — Ages 3+ & Interactive,2026-05-08,Wrong item sent,Processing,14.79,USD
RET-000286,114-8665949-2755534,1,B0NL5Q5CZM,SKU-0003,EverPeak USB-C Hub — Water Resistant & HD 1080p,2025-05-05,Missing parts or accessories,Processing,110.91,USD
RET-000287,114-9236643-6509692,2,B0671R2A1G,SKU-0012,EverPeak Laptop Stand — Water Resistant & 30H Battery Life,2026-07-15,Arrived too late,Refunded,32.43,USD
RET-000288,114-2320311-8024192,4,B0JH68DJ8G,SKU-0032,UrbanKitchen Blender — Non-Stick Coating & Space Saving,2025-09-15,Damaged during shipping,Refunded,26.96,USD
RET-000289,114-7243070-9350868,1,B02T104M25,SKU-0111,DriveGuard Jump Starter — Long Cord & Universal Fit,2025-04-21,No longer needed,Closed,0.0,USD
RET-000290,114-7538758-4697229,1,B0MVKP1792,SKU-0002,BrightBeam HDMI Cable — Bluetooth 5.3 & HD 1080p,2025-02-04,Arrived too late,Refunded,50.49,USD
RET-000291,114-5260211-2147253,2,B0CWALEK2Y,SKU-0036,ZenLife Air Fryer — Dishwasher Safe & Non-Stick Coating,2026-01-16,Wrong item sent,Refunded,38.94,USD
RET-000292,114-9060352-7014574,1,B0FPMT2SF9,SKU-0076,CloudNest Science Kit — Educational & Non-Toxic,2025-04-04,Wrong item sent,Refunded,12.73,USD
RET-000293,114-6900463-9259031,1,B0279XVVC5,SKU-0014,BrightBeam Desk Lamp — RGB Backlit & Noise Cancelling,2025-11-18,Missing parts or accessories,Refunded,45.47,USD
RET-000294,114-9959503-9537777,3,B0P5FBKME8,SKU-0047,PureGlo Bath Bomb Set — Dermatologist Tested & Gentle Formula,2025-11-14,No longer needed,Processing,24.19,USD
RET-000295,114-6983124-3368038,2,B04ZD4ZURZ,SKU-0103,LittleNest Baby Monitor — Safety Certified & Hypoallergenic,2025-07-22,Defective,Refunded,31.9,USD
RET-000296,114-8533031-8905860,1,B08UGTRB3Y,SKU-0050,ZenLife Vitamin C Serum — Dermatologist Tested & Long Lasting,2025-12-11,No longer needed,Refunded,29.44,USD
RET-000297,114-7947194-4702232,1,B0MVKP1792,SKU-0002,BrightBeam HDMI Cable — Bluetooth 5.3 & HD 1080p,2025-12-13,Inaccurate website description,Closed,0.0,USD
RET-000298,114-6559996-2327411,2,B0P5FBKME8,SKU-0047,PureGlo Bath Bomb Set — Dermatologist Tested & Gentle Formula,2025-02-09,Wrong item sent,Refunded,31.59,USD
RET-000299,114-2959175-1438857,1,B0TURPLSHH,SKU-0100,PawPals Automatic Pet Feeder — Easy to Clean & Vet Recommended,2026-05-10,No longer needed,Refunded,37.67,USD
RET-000300,114-5718376-5309477,6,B06AZNEH47,SKU-0008,BrightBeam Mechanical Keyboard — 30H Battery Life & Water Resistant,2026-06-05,Wrong item sent,Refunded,65.37,USD
RET-000301,114-1601533-7099658,1,B0QKGVBY0X,SKU-0108,LittleNest Baby Bottle Set — BPA-Free & Hypoallergenic,2025-06-11,Wrong item sent,Refunded,32.0,USD
RET-000302,114-1395398-3733001,1,B0FA6PK7S1,SKU-0043,PureGlo Body Scrub — Ionic Technology & Gentle Formula,2025-04-24,Wrong item sent,Closed,40.0,USD
RET-000303,114-3527377-4710478,2,B0N90348CD,SKU-0088,ProGrip Desk Chair Cushion — Multipurpose & Ergonomic,2025-04-28,Not as described,Refunded,12.01,USD
RET-000304,114-9427442-1996373,1,B0M2UGJMKQ,SKU-0074,CloudNest RC Car — STEM Learning & Interactive,2026-04-18,No longer needed,Closed,0.0,USD
RET-000305,114-1739811-6686039,1,B0A30AC946,SKU-0117,ProGrip Stud Finder — Ergonomic Grip & Rust Resistant,2025-02-02,Wrong item sent,Refunded,19.86,USD
RET-000306,114-4678992-4496745,3,B0E48MCY15,SKU-0079,WriteWell Label Maker — Durable & Multipurpose,2026-07-08,No longer needed,Refunded,38.36,USD
RET-000307,114-3981309-5593695,1,B00EGECWF5,SKU-0030,ZenLife Laundry Hamper — Dishwasher Safe & Premium Finish,2025-09-25,Damaged during shipping,Refunded,68.26,USD
RET-000308,114-4235692-7471985,1,B03WTWXEDC,SKU-0072,CloudNest Magnetic Tiles — STEM Learning & Educational,2025-09-23,Damaged during shipping,Refunded,19.25,USD
RET-000309,114-6792919-4374218,1,B05P1Y30A5,SKU-0091,PawPals Slow Feeder Bowl — Easy to Clean & Non-Toxic,2026-05-05,Damaged during shipping,Refunded,11.7,USD
RET-000310,114-5469467-5150050,1,B043M1S1C4,SKU-0049,PureGlo Sunscreen Lotion — Ionic Technology & Dermatologist Tested,2026-05-31,Not as described,Refunded,28.19,USD
RET-000311,114-1869207-1089689,3,B0TXQ65ZFV,SKU-0087,WriteWell Desk Organizer — Ergonomic & Multipurpose,2025-11-11,Not as described,Refunded,19.81,USD
